fiscal_year,payroll_number,agency_name,agency_start_date,work_location_borough,title_description,leave_status,base_salary,pay_basis,regular_hours,regular_gross_paid,ot_hours,total_ot_paid,total_other_pay,is_manager,is_violation
2025,57,FIRE DEPARTMENT,5/22/2023,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,CEASED,39386,per Annum,168.75,3100.82,13,403.1,195.1,FALSE,FALSE
2025,57,FIRE DEPARTMENT,6/3/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,39386,per Annum,2152.5,38957.58,103,2966.58,5164.75,FALSE,FALSE
2025,57,FIRE DEPARTMENT,6/5/2023,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,39386,per Annum,2295,41367.21,50,981.15,7709.53,FALSE,FALSE
2025,57,FIRE DEPARTMENT,9/12/2023,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,CEASED,39386,per Annum,1288.75,1060.66,0,14.36,211.55,FALSE,FALSE
2025,57,FIRE DEPARTMENT,6/3/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,39386,per Annum,2235,39972.25,145.5,3587.14,3881.95,FALSE,FALSE
2025,57,FIRE DEPARTMENT,6/3/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,CEASED,39386,per Annum,1978.5,32471.23,144,4352.93,4460.03,FALSE,FALSE
2025,57,FIRE DEPARTMENT,1/29/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,CEASED,39386,per Annum,168,2714.92,14.5,381.08,243.18,FALSE,FALSE
2025,57,FIRE DEPARTMENT,6/3/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,39386,per Annum,2231.5,40333.78,126.75,4032.43,5821.52,FALSE,FALSE
2025,57,FIRE DEPARTMENT,6/3/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,39386,per Annum,2235,39948.53,109.37,2528.84,5869.44,FALSE,FALSE
2025,57,FIRE DEPARTMENT,6/3/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,39386,per Annum,2224.25,40035.78,160.98,4655.62,4170.24,FALSE,FALSE
